time,attention,meditation,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma,blinkStrength,poorSignalLevel
270.69009670000014,30,38,6416,36182,11412,8356,5202,4531,2994,1633,0,0
273.7201577000005,47,40,5084,14210,8237,5626,3287,17935,4248,2020,0,0
274.72338820000004,43,56,61486,40134,33034,21353,11453,4042,5400,3897,0,0
275.73190500000055,48,48,171170,104245,28779,5184,14300,9443,2346,3370,0,0
276.7416045,41,57,19302,16331,38862,11281,12014,2377,2013,2404,0,0
277.7442135000001,23,63,4251,31776,17792,10396,3523,3905,4244,2199,0,0
278.7526667000002,29,64,23601,23334,31005,14525,3622,6795,8011,9338,0,0
279.7626147000001,38,81,14830,8158,31297,21081,4608,12434,9781,11949,0,0
280.76525110000057,54,70,5024,17801,3129,11642,2927,9390,10260,20456,0,0
282.7773197000006,56,61,389896,111570,2652,25157,17595,11470,9633,18241,0,0
283.7847732,54,63,31488,37815,12776,70811,5897,8244,3800,2687,0,0
286.79173770000034,51,57,4649,9025,9553,10584,6497,4306,3144,5611,0,0
287.7977268000004,40,66,22669,32040,20523,38817,9826,6024,5348,3658,0,0
288.8083492000005,34,69,492498,112951,34550,7922,5582,6109,5371,1624,0,0
289.8226895000007,35,60,122846,31179,9545,7046,7028,4109,3626,1897,0,0
290.8310637000004,35,57,86378,27796,19642,21340,11759,9977,3536,7257,0,0
291.83749460000035,41,53,13567,13735,2921,12501,3006,4082,3701,1777,0,0
292.8507460000001,34,47,175231,109511,5856,7954,2330,1710,2247,256,0,0
293.8571337000003,37,48,131403,11814,3258,6748,2326,2919,3081,1222,0,0
294.8705875000005,27,60,3852,8978,48546,16555,5382,3917,2798,1295,0,0
295.87907200000063,27,51,7358,27947,1847,11241,7777,5801,1539,2061,0,0
298.8977971000004,51,63,12166,9262,3720,6353,6182,4945,1737,1492,0,0
299.8992877999999,43,70,15897,19143,5645,42992,7435,3497,1356,1563,0,0
300.90434540000024,47,56,13514,24263,5374,12671,2458,3470,1899,1472,0,0
301.9134754000006,43,67,4494,8082,19409,7169,6914,3150,2326,1996,0,0
302.9247944000008,37,77,8336,18934,10881,36006,10091,7444,3119,2721,0,0
303.9325490000001,43,69,15622,40709,26318,22674,17953,10085,9221,3630,0,0
304.94236270000056,51,66,229413,7186,3055,1771,4116,2523,640,656,0,0
305.9544179000004,34,40,115443,38374,5109,2480,2434,794,195,468,0,0
306.9583751,30,48,16364,11539,35611,4891,6845,5115,1695,1624,0,0
309.9844094,24,67,9451,5721,84920,12276,4725,9622,1468,2226,0,0
310.98927660000027,20,77,38728,71412,77437,4636,4093,3946,2917,1682,0,0
312.00268510000024,26,83,49356,39149,16240,5006,3746,2922,2632,2512,0,0
313.0110439,26,63,74056,73891,4709,13805,5822,6002,4893,1331,0,0
314.02153290000024,34,54,187580,56915,7421,21030,8918,5578,1739,2576,0,0
315.0337921,41,54,4104,17495,8475,5244,4278,4946,3349,3530,0,0
316.0405264000001,51,43,1621,6758,6856,3013,3921,8174,3469,3571,0,0
317.04898010000034,51,56,10995,24434,43951,5606,4698,4792,1879,6751,0,0
318.0568622999999,53,61,35986,37622,14530,22164,7231,5748,1069,1259,0,0
321.0926722000004,47,69,16971,19677,19650,23118,4100,4759,1754,1239,0,0
322.1002674000001,17,63,62725,64989,10212,4161,2169,807,962,1469,0,0
323.1105311000001,21,57,58757,23542,3759,17790,3450,4273,3979,2272,0,0
324.1244536000004,29,69,12020,5776,65374,2265,7607,10633,8922,22145,0,0
325.13106980000066,53,87,10164,10616,35598,14256,3408,13050,14972,13602,0,0
326.14503890000015,50,81,1893511,132858,37888,11353,14763,11569,12646,11270,0,0
327.1468760000007,56,77,17785,8288,29016,4144,18574,12132,17756,20696,0,0
328.1564134,57,70,11259,12698,35145,15324,6129,12150,14900,18732,0,0
329.16201360000014,57,56,226658,61956,21326,14455,36983,16383,16700,15218,0,0
332.19923970000036,47,51,780777,372380,24725,37921,24258,6853,14435,27582,0,0
333.2098782000003,34,41,1284312,287001,17575,71500,18389,15510,39512,32547,0,0
335.23145830000067,29,38,925016,33684,36987,4637,6625,10623,36415,23279,0,0
336.2413544000001,35,47,12665,12922,20103,9406,4903,14914,21692,11000,0,0
337.2424553999999,51,54,341502,59196,37902,9482,19862,13457,13520,38894,0,0
338.24767580000025,48,54,343114,67563,10760,12037,16812,2551,14807,8251,0,0
339.2554925000004,44,44,219792,233140,39338,41423,42199,31076,38172,11695,0,0
340.2568818,34,48,11292,19741,36549,6446,10809,4802,6702,5233,0,0
